GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bsonpatch - RFC 6902 for Bson Values,io.github.bsonpatch,InvalidBsonPatchException,0,6,0,0,0,2,0,1,0,1
bsonpatch - RFC 6902 for Bson Values,io.github.bsonpatch,JsonPointer.KeyRef,19,37,5,5,1,8,6,2,1,2
bsonpatch - RFC 6902 for Bson Values,io.github.bsonpatch,Operation,5,125,1,3,0,24,1,6,0,5
bsonpatch - RFC 6902 for Bson Values,io.github.bsonpatch,BsonPatchApplicationException,6,50,0,6,2,9,2,5,2,2
bsonpatch - RFC 6902 for Bson Values,io.github.bsonpatch,Diff,0,78,0,0,0,26,0,10,0,10
bsonpatch - RFC 6902 for Bson Values,io.github.bsonpatch,InPlaceApplyProcessor,81,439,10,59,13,101,11,40,1,14
bsonpatch - RFC 6902 for Bson Values,io.github.bsonpatch,DiffFlags,0,46,0,0,0,9,0,3,0,3
bsonpatch - RFC 6902 for Bson Values,io.github.bsonpatch,CompatibilityFlags,0,30,0,0,0,6,0,2,0,2
bsonpatch - RFC 6902 for Bson Values,io.github.bsonpatch,InternalUtils,3,23,0,2,1,5,1,2,1,1
bsonpatch - RFC 6902 for Bson Values,io.github.bsonpatch,CopyingApplyProcessor,30,28,2,3,6,10,3,5,1,3
bsonpatch - RFC 6902 for Bson Values,io.github.bsonpatch,BsonPatch,11,230,3,20,4,56,4,20,1,9
bsonpatch - RFC 6902 for Bson Values,io.github.bsonpatch,JsonPointer.RefToken,21,219,5,21,1,52,6,20,1,12
bsonpatch - RFC 6902 for Bson Values,io.github.bsonpatch,NoopProcessor,5,9,0,0,5,4,5,3,5,3
bsonpatch - RFC 6902 for Bson Values,io.github.bsonpatch,JsonPointer,101,419,15,46,8,82,14,35,1,17
bsonpatch - RFC 6902 for Bson Values,io.github.bsonpatch,BsonDiff,20,1196,9,159,2,254,9,102,0,25
bsonpatch - RFC 6902 for Bson Values,io.github.bsonpatch,JsonPointerEvaluationException,3,13,0,0,1,5,1,2,1,2
